COMID,Region,BFS_All,BFS_West,BFS_East,HUC8,ElevCat,ClayCat,SandCat,RckDepCat,Divergence,Slope,Confinement,TotDASqKM
19053004,East,1,0,1,8070201,59.7654,20.5269,28.3193,152.4,0,0.00247796,1,29.3427
19052988,East,1,0,1,8070201,44.2568,19.4674,30.3015,152.4,0,0.00200601,1,200.6118
19052900,East,1,0,1,8070201,57.4775,17.3683,20.9608,152.4,0,0.00200582,1,95.2263
19053288,East,1,0,1,8070201,34.0562,11.0561,37.5071,152.3418,0,0.00293789,1,19.9242
19146595,East,1,0,1,8060203,47.2696,17.34,12.3334,152.4,0,0.00105263,3,970.1145
19143129,East,1,0,1,-9999,36.2757,16.261,7.2729,152.4,0,0.00001,1,-9999
19177592,East,1,0,1,8060202,73.9812,19.1429,22.6908,152.4,0,0.00034344,1,288.5598
19141123,East,1,0,1,-9999,53.634,14.2538,10.36,152.4,0,0.00183069,3,-9999
19141111,East,1,0,1,8060203,93.1292,28.606,17.1453,152.4,0,0.00183202,1,36.5913
19141097,East,1,0,1,8060203,63.8173,15.5707,10.5488,152.4,0,0.00193839,3,117.801
19141247,East,1,0,1,8060203,78.6139,17.34,12.7321,152.4,0,0.00437788,2,314.9577
19141279,East,1,0,1,-9999,79.3907,20.4046,13.9373,152.4,0,0.00001,2,-9999
19141923,East,1,0,1,8060203,119.6902,20.41,30.41,152.4,0,0.00156739,1,39.2715
19142047,East,1,0,1,8060203,74.1102,18.1325,14.624,152.4,0,0.00081818,1,406.5606
19141579,East,1,0,1,8060203,82.687,17.3871,12.8624,152.4,0,0.00027138,2,209.5542
19141815,East,1,0,1,-9999,93.3722,17.34,12.8042,152.4,0,0.00039877,2,-9999
19177972,East,1,0,1,8060202,65.0414,22.1763,18.8524,152.4,0,0.00001,1,3833.234
19179884,East,1,0,1,8060202,67.0951,17.0626,10.9655,152.4,7,0.00001,1,4694.459
19179976,East,1,0,1,8060202,56.5312,15.4249,10.1091,152.4,0,0.00106029,1,4789.261
19121746,East,1,0,1,8060100,68.1984,18.66,8.47,152.4,0,0.01608173,1,3.6585
19121452,East,1,0,1,8060204,51.0575,16.6577,6.4161,152.4,0,0.00087534,3,231.7158
19121588,East,1,0,1,8060204,64.2197,17.5047,6.4083,152.4,0,0.00165864,1,84.9312
19137395,East,1,0,1,8060203,71.4536,20.7936,11.6609,152.4,0,0.00072781,3,148.6305
19137389,East,1,0,1,8060203,73.7691,22.7257,9.8042,152.4,0,0.00056638,3,142.0326
19137571,East,1,0,1,8060203,56.0847,16.4785,15.142,152.4,0,0.00085556,2,187.1685
19137555,East,1,0,1,8060203,63.9317,22.2189,10.2775,152.4,0,0.00146131,2,183.5856
19122090,East,1,0,1,-9999,40.7889,17.0626,6.3363,152.4,0,0.00092572,3,-9999
19121428,East,1,0,1,8060204,85.1987,16.22,10.5687,152.4,0,0.00292047,1,22.2912
19112980,East,1,0,1,-9999,32.2174,14.8185,14.5461,152.4,0,0.00001,1,-9999
19112978,East,1,0,1,-9999,46.7379,19.4454,20.8998,152.4,0,0.00134751,1,-9999
19112448,East,1,0,1,8060205,68.6722,20.6152,20.3645,152.4,0,0.01278424,1,1.9458
19112450,East,1,0,1,8060205,49.3354,20.3981,19.9279,152.4,0,0.00089265,1,80.7894
19112460,East,1,0,1,8060205,57.1535,24.06,23.55,152.4,0,0.0025862,1,11.2014
19121262,East,1,0,1,8060204,55.015,15.7763,7.0542,152.4,0,0.00502487,3,115.6464
19121188,East,1,0,1,8060204,56.6536,16.6797,6.3437,152.4,0,0.0016906,3,184.5954
19121348,East,1,0,1,8060204,74.7741,19.5742,24.1605,152.4,0,0.00173277,1,49.23
19115892,East,1,0,1,-9999,80.1604,19.2967,20.4935,152.4,0,0.00078728,1,-9999
19140303,East,1,0,1,8060203,75.6074,17.761,12.8144,152.4,0,0.00018421,3,622.0872
19140235,East,1,0,1,-9999,61.1778,18.0514,11.0249,152.4,0,0.00001,1,-9999
19140243,East,1,0,1,8060203,64.7037,19.2559,12.8908,152.4,0,0.00001,3,644.0697
19140253,East,1,0,1,8060203,34.2292,16.7628,6.9337,152.4,0,0.0000781,3,756.351
19140431,East,1,0,1,8060203,32.5997,16.3228,9.6765,152.4,0,0.00211755,1,90.1035
19140419,East,1,0,1,8060203,72.2175,17.4794,13.248,152.4,0,0.0007107,3,507.9366
19140167,East,1,0,1,8060203,65.3176,18.8841,12.162,152.4,0,0.00229904,1,650.2221
19140201,East,1,0,1,8060203,62.5878,18.8092,10.0771,152.4,0,0.00001,2,655.2846
19140191,East,1,0,1,8060203,74.7625,23.9162,11.8185,152.4,0,0.01324306,1,0.8316
19140197,East,1,0,1,8060203,74.6614,18.8416,19.3437,152.4,0,0.00001,3,104.526
19140817,East,1,0,1,8060203,66.3218,17.5159,12.9681,152.4,0,0.00131672,3,130.4334
19140915,East,1,0,1,-9999,71.2694,17.947,13.1684,152.4,0,0.00223853,1,-9999
19140897,East,1,0,1,8060203,75.3228,17.4083,13.1628,152.4,0,0.00001,1,401.5521
19140595,East,1,0,1,8060203,40.0674,18.86,7.8683,152.4,0,0.00339563,3,231.3504
19138049,East,1,0,1,8060203,46.1741,18.28,12.2068,152.4,0,0.00126177,3,514.0611
19137677,East,1,0,1,8060203,52.4921,15.64,17.0199,152.4,0,0.00149068,3,449.1891
19137659,East,1,0,1,8060203,55.3858,16.0425,15.391,152.4,0,0.00001,3,243.2475
19138553,East,1,0,1,8060203,43.9188,18.2455,11.4413,152.4,0,0.00001,1,1514.326
19138561,East,1,0,1,8060203,58.6411,18.8506,15.9032,152.4,0,0.00001,3,1497.224
19138575,East,1,0,1,-9999,43.7757,16.3032,12.9453,152.4,0,0.00209876,2,-9999
19138525,East,1,0,1,8060203,36.5012,16.5359,11.6699,152.4,0,0.00221138,1,1561.223
19138517,East,1,0,1,-9999,40.9338,16.8041,8.963,152.4,0,0.00078141,1,-9999
19139809,East,1,0,1,8060203,48.6024,17.7955,11.4127,152.4,0,0.00736318,3,969.903
19138425,East,1,0,1,8060203,38.7871,17.5951,22.4667,152.4,0,0.00001,1,1681.287
19138433,East,1,0,1,8060203,47.033,17.516,11.8184,152.4,0,0.00077519,2,973.0746
19220525,East,1,0,1,8060201,111.6228,19.6473,27.9369,152.4,0,0.00149452,1,25.6176
19220477,East,1,0,1,8060201,122.2467,28.961,17.6667,152.4,0,0.00035732,2,130.2057
19220213,East,1,0,1,-9999,103.7597,24.6991,23.8815,151.9996,7,0.0000896,2,-9999
19220217,East,1,0,1,-9999,112.5437,22.7794,28.2928,152.4,7,0.00056643,1,-9999
19220853,East,1,0,1,8060201,111.47,25.5378,21.0212,152.4,0,0.00118892,2,68.8446
19220801,East,1,0,1,-9999,92.6173,22.76,23.0402,152.4,0,0.00001,3,-9999
19218951,East,1,0,1,8060201,124.8699,19.2222,22.7972,152.4,0,0.00178746,1,40.0473
19218725,East,1,0,1,8060201,122.8803,16.86,19.4019,152.4,0,0.00337448,1,23.9472
19219451,East,1,0,1,8060201,127.2136,18.5971,19.9272,152.4,0,0.00266964,1,16.9047
19219483,East,1,0,1,-9999,113.1315,29.593,19.7767,152.4,0,0.00039148,1,-9999
19219315,East,1,0,1,8060201,117.7201,24.8153,28.9762,152.4,0,0.00108688,1,44.3313
19219155,East,1,0,1,-9999,118.9364,32.7068,18.6443,152.4,0,0.00147157,1,-9999
19219083,East,1,0,1,8060201,123.9038,22.0612,30.7517,152.4,0,0.00039518,1,58.3497
19222517,East,1,0,1,8060201,116.6488,20.8889,32.064,152.4,0,0.00311926,1,12.7431
19222549,East,1,0,1,-9999,81.2898,22.4904,25.4062,152.4,0,0.00001,1,-9999
19222463,East,1,0,1,8060201,121.9575,19.92,32.43,152.4,0,0.00240303,1,22.5351
19222889,East,1,0,1,8060201,118.7467,25.52,30.8634,152.4,0,0.00232769,1,9.7263
19222861,East,1,0,1,8060201,90.0984,21.8781,24.6053,152.4,0,0.00150408,2,66.4128
19221589,East,1,0,1,8060201,131.6143,23.6945,35.7017,152.4,0,0.0023465,1,26.9721
19221609,East,1,0,1,8060201,99.9258,18.78,14.3801,152.4,0,0.00290398,1,34.2423
19221167,East,1,0,1,-9999,103.6851,19.6605,27.4689,152.4,0,0.00001,1,-9999
19221801,East,1,0,1,8060201,115.9416,19.92,32.43,152.4,7,0.00371362,1,7.857
19185282,East,1,0,1,8060202,42.5456,16.9299,10.2348,152.4,0,0.00193723,1,21.8799
19185664,East,1,0,1,-9999,44.1095,16.3917,14.7325,152.4,0,0.00075949,3,-9999
19226649,East,1,0,1,8060201,79.9251,19.8723,30.8574,152.4,3,0.00234478,1,14.6232
19226561,East,1,0,1,8060201,73.2081,17.34,19.1825,152.4,4,0.0020909,3,205.4646
19227137,East,1,0,1,-9999,64.8564,22.76,22.8958,152.4,0,0.0000965,1,-9999
19223639,East,1,0,1,8060201,99.5113,17.555,13.465,152.4,0,0.00200342,1,32.5773
19223627,East,1,0,1,8060201,105.9037,18.3662,14.8182,152.4,0,0.00416231,1,1.5858
19223395,East,1,0,1,-9999,79.7282,23.1837,24.3182,152.4,0,0.00037703,1,-9999
19223467,East,1,0,1,8060201,93.1359,21.1725,23.0303,152.4,0,0.00120812,1,52.1298
19226107,East,1,0,1,-9999,68.0219,22.76,23.04,152.4,4,0.00001,2,-9999
15250454,East,1,0,1,8030204,83.452,18.81,6.9506,152.4,0,0.00271844,1,32.4612
15251276,East,1,0,1,8030204,102.2123,18.966,11.293,152.4,0,0.00412164,1,9.2943
15252066,East,1,0,1,8030204,104.1626,17.9951,9.8225,152.4,0,0.00071322,1,496.3743
15252264,East,1,0,1,8030204,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
15283536,East,1,0,1,8030201,138.3746,25.52,30.96,152.4,0,0.00331081,1,6.7374
